date,pressure,wind_speed,humidity,PM10,temperature,PM2.5
2018-06-02 0:00:00,100632.2569,2.051572111,73.10416667,26,30.11145833,17
2018-06-03 0:00:00,100448.2292,2.076252444,71.42013889,28,30.678125,14
2018-06-04 0:00:00,100406.263,1.585058436,69.4083045,26,30.7633218,14
2018-06-05 0:00:00,100535.8131,1.568043073,70.98615917,32,30.56712803,15
2018-06-06 0:00:00,100638.5017,2.012614578,76.07665505,36,29.47421603,17
2018-06-07 0:00:00,100563.0208,3.223499889,74.88541667,33,29.52638889,16
2018-06-08 0:00:00,100492.3611,3.479771778,75.68402778,26,28.76180556,15
2018-06-09 0:00:00,100463.8542,1.592735222,80.80555556,30,28.49513889,13
2018-06-10 0:00:00,100541.1458,1.382098667,82.08680556,33,29.20208333,12
2018-06-11 0:00:00,100569.5139,2.775373333,77.05208333,29,30.18506944,12
2018-06-12 0:00:00,100650.5903,2.554492111,73.42708333,31,30.58402778,11
2018-06-13 0:00:00,100551.1307,3.057564042,72.18021201,34,30.82367491,13
2018-06-14 0:00:00,100490.1389,3.071226889,73.06597222,36,30.54270833,14
2018-06-15 0:00:00,100437.9514,2.544557889,78.35416667,38,29.56145833,18
2018-06-16 0:00:00,100307.6389,2.506838889,78.12152778,38,29.46701389,17
2018-06-17 0:00:00,100181.0764,5.006227111,69.14930556,40,29.89097222,20
2018-06-18 0:00:00,100157.0307,2.858919973,74.11262799,46,29.58395904,22
2018-06-19 0:00:00,100333.1802,2.138209696,73.44522968,32,30.28268551,24
2018-06-20 0:00:00,100440.0947,2.10363902,72.61742164,35,30.44551719,15
2018-06-21 0:00:00,100547.0091,2.069068343,71.7896136,48,30.60834887,15
2018-06-22 0:00:00,100653.9236,2.034497667,70.96180556,51,30.77118056,22
2018-06-23 0:00:00,100571.5972,2.425347222,69.46875,41,30.76666667,22
2018-06-24 0:00:00,100546.5505,2.29158623,70.8815331,31,30.38222997,19
2018-06-25 0:00:00,100531.5972,2.498456889,70.27777778,34,29.71076389,15
2018-06-26 0:00:00,100593.5612,1.389522532,78.21582734,39,28.91654676,18
2018-06-27 0:00:00,100686.9444,0.825471778,87.18402778,37,27.59791667,19
2018-06-28 0:00:00,100706.2847,0.499349889,79.60069444,39,28.55555556,19
2018-06-29 0:00:00,100561.7708,0.823453889,74.52777778,29,29.40659722,21
