Date,PM2.5,temperature,dewpoint,humidity,wind_speed,pressure,PM10,traffic
14/11/2017,39,28.99255814,24.88651163,79.13023256,1.201394009,100701.3953,61,
15/11/2017,38,29.46230769,24.29153846,74.74615385,1.453739692,100806.1923,43,
16/11/2017,24,28.42875,25.01625,82.075,1.693536533,100853.3333,60,
17/11/2017,32,29.47011952,25.53545817,79.89641434,0.966568159,100777.251,68,
18/11/2017,45,30.67113821,25.66422764,75.68699187,0.744339772,100656.0569,57,
19/11/2017,37,29.52706422,25.69816514,80.44036697,1.515219523,100672.4312,40,
20/11/2017,23,26.77363184,24.25323383,86.71641791,1.122048159,100783.3831,33,
21/11/2017,19,28.07129187,24.48660287,81.47368421,2.572512,100752.9187,46,
22/11/2017,27,28.86878307,24.36719577,77.71957672,1.539094857,100769.6296,29,
23/11/2017,17,29.04457143,23.18171429,71.04,2.726944,100809.0286,36,
24/11/2017,20,28.35377358,21.54622642,66.95283019,2.532523774,101011.934,54,
25/11/2017,29,27.5268,19.9804,63.852,2.158845568,101135.16,53,
26/11/2017,31,28.04618474,20.16746988,62.71485944,2.214553574,101107.6305,53,
27/11/2017,28,27.80685484,20.60201613,65.14516129,2.231955355,100935.8871,57,
28/11/2017,33,27.71196581,21.71495726,70.2008547,2.558826393,100895.2564,48,
29/11/2017,27,29.27487437,22.42060302,67.13567839,2.295853668,100882.6131,51,
30/11/2017,30,29.25625,22.92864583,69.11458333,1.580938333,100803.9063,49,
1/12/2017,30,29.21560976,22.12,65.93170732,1.802988644,100831.2195,53,
2/12/2017,31,28.96719577,21.60529101,64.88888889,1.39646781,100898.7831,43,
3/12/2017,26,29.32647059,21.72696078,64.15196078,1.269462118,100858.7255,47,
4/12/2017,27,29.83227092,22.112749,63.5059761,2.191386518,100805.9761,33,
5/12/2017,20,27.7,20.92663934,66.67213115,2.434352656,100905.082,49,
6/12/2017,33,28.38232932,21.27871486,65.66666667,2.046330088,100909.6787,54,
7/12/2017,35,29.39291667,21.63708333,63.60416667,2.075010667,100936.5417,53,
8/12/2017,38,30.05816327,22.4872449,64.45408163,1.965835592,101045.4592,39,
9/12/2017,25,27.86055556,19.77,61.63333333,2.914452444,101143.5556,61,
10/12/2017,50,28.4555,20.167,61.43,1.38984736,101146.4,79,
11/12/2017,69,28.62389937,22.16666667,68.50314465,0.797361912,101039.2453,50,
12/12/2017,38,28.645625,24.34375,78.2875,0.8588756,100966.5,49,
13/12/2017,32,28.92636816,25.21343284,80.89054726,1.642482786,100901.194,50,
14/12/2017,34,28.42529183,25.07392996,82.58754864,1.145953121,100905.7198,60,
15/12/2017,42,29.29375,24.73320313,77.50390625,0.71281925,100941.0547,52,
16/12/2017,38,29.40557621,21.90037175,64.81412639,2.041261086,101116.6171,30,
17/12/2017,15,26.17777778,17.46989247,58.89964158,3.563341419,101413.6559,49,
18/12/2017,33,23.31397849,13.44408602,54.24014337,2.563670251,101550.8961,60,
19/12/2017,42,21.37900763,9.892366412,48.5,2.196979786,101656.1069,68,
20/12/2017,51,21.2936803,8.470260223,44.50185874,1.915458379,101745.2416,70,
21/12/2017,53,21.97255639,9.877443609,46.43984962,2.12360806,101581.3158,70,
22/12/2017,58,23.70187266,14.19775281,55.40074906,2.670017558,101235.8427,73,
23/12/2017,62,27.36988848,17.26654275,54.72862454,1.364718394,100902.0818,70,
24/12/2017,59,28.59209622,19.77319588,59.70103093,1.20009501,100872.2337,48,
25/12/2017,30,26.25472973,17.12668919,57.73986486,1.650574378,100987.7027,67,
26/12/2017,60,23.08963211,17.15117057,70.18060201,1.56284586,101106.4883,47,
27/12/2017,45,19.91623616,18.96678967,94.3099631,1.742466244,101130.738,44,
28/12/2017,29,23.2477193,20.79263158,86.42105263,2.562715621,101140,39,
29/12/2017,24,25.02671756,21.5370229,81.65648855,3.237627481,101175.687,36,
30/12/2017,24,27.85519481,22.17305195,72.01623377,1.474941714,101073.2143,34,
31/12/2017,23,27.42960526,20.50657895,66.48355263,2.479013263,101055.1316,34,
1/1/2018,27,26.66644518,19.74086379,66.15946844,1.678404997,101000.7973,40,
2/1/2018,30,27.23484321,19.72787456,64.2195122,1.690185031,100861.115,54,
3/1/2018,40,27.70645161,20.67060932,66.1218638,1.026269247,100829.0323,59,4.058064516
4/1/2018,45,29.02380952,21.08901099,63.22344322,1.065035956,100776.8864,69,3.891519435
5/1/2018,51,30.05432099,21.49341564,61.11934156,0.801360593,100658.3539,60,4.466545455
6/1/2018,48,29.2076,22.5732,67.908,0.763901952,100654.4,27,4.00070922
7/1/2018,19,28.18392157,24.17254902,79.34117647,1.820767624,100818.902,28,3.469473684
8/1/2018,16,27.6358209,24.21492537,82.42537313,0.83903403,100888.209,36,4.518505338
9/1/2018,22,29.90663616,24.60778032,73.72997712,1.273399066,100968.7185,28,4.770212766
10/1/2018,17,27.21428571,24.45892857,84.92857143,1.022604,101025.3571,56,4.932862191
11/1/2018,35,24.58256881,19.45504587,73.4266055,1.480358606,101306.422,56,4.280147059
12/1/2018,37,23.61341991,16.26580087,63.62337662,1.323896381,101394.4589,61,3.967054264
13/1/2018,44,22.38709677,15.07096774,63.5,1.01232929,101386.828,60,3.39375
14/1/2018,45,24.14245283,16.53726415,63.53773585,0.853593358,101242.7358,71,2.754
15/1/2018,55,25.34651163,18.05674419,64.7255814,0.282778791,101025.3488,78,3.7196
16/1/2018,67,27.18651163,19.34325581,63.06976744,0.19295494,100864,92,3.696958175
17/1/2018,87,28.50904762,20.84904762,64.01428571,0.275887543,100780.8095,71,3.702380952
18/1/2018,59,29.30119522,20.49561753,59.85657371,0.456123283,100781.992,70,3.7984375
19/1/2018,59,29.7804,19.8004,56.74,0.575072256,100845.08,73,3.970517928
20/1/2018,51,29.4608,20.1312,57.624,0.612981248,100781.52,81,3.585375494
21/1/2018,72,29.55222672,21.36072874,61.94736842,0.185331563,100701.7004,75,2.889883268
22/1/2018,77,29.646875,23.003125,68.60267857,0.517887857,100648.125,71,3.754372624
23/1/2018,61,29.43448276,24.05689655,73.59051724,0.630480552,100633.4052,69,3.817578125
24/1/2018,61,27.93318182,24.38227273,81.35909091,0.7496048,100573.4545,48,3.809960159
25/1/2018,34,28.35648536,24.66108787,80.84518828,0.826930477,100585.1464,33,3.80503876
26/1/2018,22,28.70401606,24.64538153,79.2248996,0.922087325,100618.8353,32,3.956809339
27/1/2018,19,28.49760956,24.30278884,78.64940239,1.097118088,100715.2191,33,3.655905512
28/1/2018,19,28.71713147,24.28605578,77.68924303,0.975651442,100726.3745,33,3.005952381
29/1/2018,20,28.95421687,25.20240964,80.82730924,1.144350586,100809.6787,32,3.694901961
30/1/2018,21,28.68955823,25.29076305,82.18875502,1.499648643,100807.1888,32,3.855378486
31/1/2018,21,27.31044177,24.85261044,86.72289157,1.971823422,100930.5221,46,4.28467433
1/2/2018,35,27.5625498,23.11593625,77.35059761,3.206933163,101014.0239,59,3.783794466
2/2/2018,51,26.6088,20.5948,69.96,1.839659008,101105.64,64,4.025896414
3/2/2018,52,25.25856574,18.3749004,65.80079681,1.683791299,101276.0558,65,3.558130081
4/2/2018,59,25.36561265,16.86403162,59.83794466,0.914753391,101290.9881,66,2.913833992
5/2/2018,62,25.7124,16.7336,58.092,1.023542784,101424.56,58,3.611020408
6/2/2018,51,24.97452471,15.42927757,55.77946768,1.789859772,101323.7643,81,3.837109375
7/2/2018,86,25.70150376,17.23947368,60.2406015,1.333221173,101142.8195,75,3.8156
8/2/2018,76,26.68446215,21.63984064,74.94023904,1.45385957,101029.004,58,3.764528302
9/2/2018,48,27.23904382,22.45976096,76.10358566,1.7384691,100967.2908,56,3.915322581
10/2/2018,43,28.05511811,22.83110236,74.36220472,1.160544,101066.0236,58,3.564285714
11/2/2018,44,27.60357143,23.86349206,80.47222222,0.553832889,101125.754,67,2.840625
12/2/2018,55,28.65298805,21.16215139,66.21115538,2.51785039,101332.2311,61,3.707058824
13/2/2018,46,27.7784,18.45,57.496,1.44930368,101429.64,82,3.896356275
14/2/2018,72,28.9502008,19.36626506,57.30120482,0.46571155,101330.9639,68,4.164822134
15/2/2018,60,29.14268775,22.24545455,68.02766798,1.344123826,101147.9051,59,3.352918288
16/2/2018,48,29.21314741,24.67211155,77.46215139,0.844032892,100930.7171,57,3.248
17/2/2018,47,29.04642857,25.1765873,80.44444444,1.287191365,100778.6111,52,2.982258065
18/2/2018,41,28.75612648,24.59328063,78.72727273,1.48212313,100854.3478,48,2.71752988
19/2/2018,35,28.64007937,24.81547619,80.30952381,1.247099683,100873.5317,29,3.672156863
20/2/2018,17,28.79880952,24.35436508,77.5952381,1.47132927,100833.6111,36,3.87164751
21/2/2018,21,29.20354331,24.3003937,75.63779528,1.486496,100715.1575,42,3.747560976
22/2/2018,27,28.91111111,24.79325397,78.86111111,1.705493079,100745.7937,46,3.791954023
23/2/2018,33,27.5812,23.8872,80.72,1.608807552,100976.96,55,4.198015873
24/2/2018,41,27.91092437,24.28277311,81.47058824,0.659102252,101121.3025,55,3.522709163
25/2/2018,36,28.515625,24.053125,77.4453125,0.4728845,100961.4844,56,2.83452381
26/2/2018,44,28.85657371,23.75976096,74.87649402,0.950895044,100881.5538,51,3.765490196
27/2/2018,33,27.10318725,23.51792829,81.35458167,1.345216382,100923.1076,58,3.945454545
28/2/2018,42,28.67588933,23.53952569,74.73913043,1.031725913,100818.8538,44,4.083739837
1/3/2018,28,29.42178988,24.93968872,77.6536965,1.147170739,100715.4086,41,3.06031746
2/3/2018,27,29.6438247,25.03904382,76.99601594,1.465614406,100679.8406,32,3.86547619
3/3/2018,19,29.6808,25.1636,77.396,1.465933568,100616.8,30,3.481854839
4/3/2018,19,29.97628458,25.23754941,76.41501976,1.28705113,100708.1818,29,2.933744856
5/3/2018,18,30.18149606,25.58503937,77.31889764,1.430352,100708.4646,32,3.743921569
6/3/2018,20,30.37579365,25.58730159,76.3015873,1.67586781,100783.373,33,3.761023622
7/3/2018,22,30.24448819,25.64527559,77.19685039,1.971024,100793.4252,44,3.73503937
8/3/2018,30,30.0468254,25.43968254,76.88888889,1.612359746,100801.3492,43,3.625296443
9/3/2018,31,25.77782101,22.19494163,81.00389105,1.567771019,101012.2957,64,4.1024
