date,pressure,wind_speed,humidity,temperature,PM2.5,PM10
2/4/2018,100831.5953,1.581860607,82.10894942,28.42373541,41,58
3/4/2018,100784.4534,1.228002591,77.951417,28.80161943,45,44
4/4/2018,100655.214,1.913574724,80.26459144,29.58171206,29,52
5/4/2018,100627.0543,1.935787163,76.48062016,29.99186047,34,57
6/4/2018,100666.2109,1.282620625,73.21875,29.90703125,43,31
7/4/2018,101097.4118,2.949236831,80.37647059,25.38313725,19,46
8/4/2018,101253.3977,2.518440402,62.86872587,25.72895753,28,67
9/4/2018,101016.0938,1.8601055,59.20703125,28.78710938,45,56
10/4/2018,100827.976,1.462600208,60.18637275,31.03026052,37.5,45
11/4/2018,100762.8099,1.912419879,75.31129477,30.28484848,30,35
12/4/2018,100672.1034,2.347114152,74.27931034,30.83172414,21,29
13/4/2018,100708.2222,2.187019022,74.83703704,31.14888889,19,28
14/4/2018,100626.6406,2.201497375,76.3046875,31.1390625,20,28
15/4/2018,100628.7795,2.26776,75.3976378,31.30275591,20,34
16/4/2018,100753.2677,2.071696,73.27165354,31.44094488,24,28
17/4/2018,100998.2143,2.172224127,86.21031746,26.99761905,19,45
18/4/2018,100921.9763,1.382466783,76.11857708,28.52529644,31,33
19/4/2018,100729.0196,1.933667137,74.08235294,30.44666667,22,33
20/4/2018,100693.1225,1.987649391,77.12648221,30.64703557,20,33
21/4/2018,100677.9447,2.030409739,75.01976285,30.95889328,22,28
22/4/2018,100670.996,2.549909036,72.97609562,31.18844622,17,43
23/4/2018,100527.6259,2.221692317,70.88489209,31.92122302,27,36
24/4/2018,100561.3672,2.29492175,75.5859375,31.47617188,23,46
25/4/2018,100585.443,2.245008473,74.7257384,31.14514768,28,41
26/4/2018,100681.5175,2.807480778,77.54085603,30.09766537,24,37
27/4/2018,100864.4961,2.094157147,76.69379845,28.55968992,24,30
28/4/2018,100979.8039,1.366364612,93.09019608,24.75607843,21,39
29/4/2018,100856.6797,1.403985,84.16015625,27.0578125,25,29
30/4/2018,100845.4086,1.752327222,91.26459144,26.22996109,19,19
1/5/2018,100894.8819,1.720048,86.22047244,27.21220472,13,26
2/5/2018,100881.7063,1.694317079,79.21428571,29.03888889,15,36
3/5/2018,100917.0428,1.688489214,78.78210117,28.94124514,21,39
4/5/2018,100847.1984,1.835821074,74.26459144,29.72529183,22,29
5/5/2018,100934.0698,1.496717643,76.9379845,29.87790698,16,25
6/5/2018,100886.4453,1.740662,79.70703125,30.04414063,16,33
7/5/2018,100722.5882,1.950146259,80.31764706,29.7572549,18,38
8/5/2018,100588.549,1.756078306,76.81568627,31.01490196,22,34
9/5/2018,100673.4252,2.035968,79.2992126,30.86417323,19,32
10/5/2018,100762.2441,2.3892,76.79527559,31.16141732,17,38
11/5/2018,100802.3047,1.157239875,79.71875,28.12539062,19,45
12/5/2018,100755.6627,1.442736321,75.94779116,29.88473896,28,37
13/5/2018,100748.12,1.279070848,73.56,30.4896,23,37
14/5/2018,100763.0522,2.061231422,75.59839357,29.27951807,22,46
15/5/2018,100604.5418,1.673105084,78.20717131,29.56015936,28,28
16/5/2018,100534.0161,1.913654361,70.35341365,31.69718876,18,26
17/5/2018,100528.28,2.559929856,72.372,31.6716,16,33
18/5/2018,100513.44,1.956068224,77.972,30.2816,20,35
19/5/2018,100495.498,1.374247267,75.20717131,29.97649402,21.33333333,43
20/5/2018,100497.68,1.211299584,73.292,31.1528,22.66666667,41
21/5/2018,100548.5081,1.111831742,79.5766129,29.70967742,24,43
22/5/2018,100693.4926,1.393384235,85.15808824,27.84779412,25,41
23/5/2018,100664.8855,1.936092702,78.97328244,29.02099237,25,29
24/5/2018,100698.2731,1.953690474,79.79116466,28.17630522,16,29
25/5/2018,100613.3466,2.194592382,78.75298805,29.31633466,15,29
26/5/2018,100681.4103,1.528150838,81.96153846,28.96965812,15,34
27/5/2018,100708.6747,1.880261012,78.4497992,29.43212851,19,42
28/5/2018,100705.28,1.23740672,77.392,29.9856,22,32
29/5/2018,100724.498,2.547589398,80.03614458,29.34899598,14,28
30/5/2018,100686.96,2.752693504,79.444,29.8384,16,41
31/5/2018,100750.0707,1.536996184,80.57597173,29.14664311,24,37
1/6/2018,100739.3426,1.708187792,74.67474048,29.87231834,18,37
2/6/2018,100632.2569,2.051572111,73.10416667,30.11145833,17,26
3/6/2018,100448.2292,2.076252444,71.42013889,30.678125,14,28
4/6/2018,100406.263,1.585058436,69.4083045,30.7633218,14,26
5/6/2018,100535.8131,1.568043073,70.98615917,30.56712803,15,32
6/6/2018,100638.5017,2.012614578,76.07665505,29.47421603,17,36
7/6/2018,100563.0208,3.223499889,74.88541667,29.52638889,16,33
8/6/2018,100492.3611,3.479771778,75.68402778,28.76180556,15,26
9/6/2018,100463.8542,1.592735222,80.80555556,28.49513889,13,30
10/6/2018,100541.1458,1.382098667,82.08680556,29.20208333,12,33
